"id","char_id","nameid","amount","equip","identify","refine","attribute","card0","card1","card2","card3","option_id0","option_val0","option_parm0","option_id1","option_val1","option_parm1","option_id2","option_val2","option_parm2","option_id3","option_val3","option_parm3","option_id4","option_val4","option_parm4","expire_time","favorite","bound","unique_id","equip_switch","enchantgrade"
"1","150000","1201","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","150000","2301","1","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","150001","1681","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","150001","2301","1","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","150002","7227","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","150002","13221","9872","32768","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","150004","2301","1","16","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","150004","1681","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","150002","30334","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","644253684334592","0","0"
"13","150002","30341","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","150002","30343","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","150002","13107","1","34","1","10","0","4305","4399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334615","0","0"
"16","150002","2404","1","64","1","8","0","4352","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334616","0","0"
"17","150002","2629","1","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334617","0","0"
"18","150002","2629","1","128","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334618","0","0"
"19","150002","5483","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334619","0","0"
"20","150002","2311","1","0","1","8","0","4565","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334620","0","0"
"21","150002","2311","1","16","1","8","0","4302","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334621","0","0"
"22","150002","2311","1","0","1","8","0","4047","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334622","0","0"
"23","150002","2504","1","4","1","8","0","4174","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334623","0","0"
"24","150002","2115","1","0","1","8","0","4128","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334624","0","0"
"25","150002","2115","1","0","1","8","0","4058","0","0","0","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334625","0","0"
"26","150002","5013","1","256","1","8","0","4143","4330","4112","4087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334626","0","0"
"27","150002","2202","1","512","1","0","0","4198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334627","0","0"
"28","150002","2541","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334628","0","0"
"29","150002","5800","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334629","0","0"
"30","150002","18670","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","644253684334630","0","0"
"31","150002","30339","99","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"33","150002","420152","1","4096","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","644253684334637","0","0"
"34","150002","31978","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","644253684334638","0","0"
"35","150002","31979","1","1024","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","644253684334639","0","0"
"36","150002","12214","18","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518","150009","1201","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","150006","611","28","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","150006","569","44","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","150006","12323","336","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
